174.800393238	-42.23	-10
174.802496359	-42.22	-10
174.805035529	-42.21	-10
174.808015858	-42.2	-10
174.81	-42.1941982955	-10
174.811423516	-42.19	-10
174.815253865	-42.18	-10
174.819542364	-42.17	-10
174.82	-42.1690313727	-10
174.824245154	-42.16	-10
174.829415776	-42.15	-10
174.83	-42.1489589149	-10
174.835014234	-42.14	-10
174.84	-42.1317930086	-10
174.841088093	-42.13	-10
174.847614093	-42.12	-10
174.85	-42.1165891796	-10
174.854615762	-42.11	-10
174.86	-42.1028094456	-10
174.862110118	-42.1	-10
174.87	-42.0901331889	-10
174.870107006	-42.09	-10
174.878611017	-42.08	-10
174.88	-42.0784546262	-10
174.887655213	-42.07	-10
174.89	-42.0675426835	-10
174.897263427	-42.06	-10
174.9	-42.0572957832	-10
174.907464833	-42.05	-10
174.91	-42.0476359338	-10
174.918295434	-42.04	-10
174.92	-42.0384992439	-10
174.92979941	-42.03	-10
174.93	-42.0298332107	-10
174.94	-42.0216336153	-10
174.942028406	-42.02	-10
174.95	-42.0138317126	-10
174.955055206	-42.01	-10
174.96	-42.0063915372	-10
174.968963899	-42	-10
174.97	-41.9992871594	-10
174.98	-41.9925358248	-10
174.983845535	-41.99	-10
174.99	-41.9860668993	-10
174.999739097	-41.98	-10
175	-41.9798419487	-10
175.01	-41.9738845953	-10
175.01669179	-41.97	-10
175.02	-41.9681253284	-10
175.03	-41.9625732437	-10
175.034740368	-41.96	-10
175.04	-41.9572033131	-10
175.05	-41.9520038432	-10
175.053935416	-41.95	-10
175.06	-41.946965754	-10
175.07	-41.9420752551	-10
175.074332933	-41.94	-10
175.08	-41.9373253369	-10
175.09	-41.93270717	-10
175.095993788	-41.93	-10
175.1	-41.9282121968	-10
175.11	-41.9238351619	-10
175.118982651	-41.92	-10
175.12	-41.9195697778	-10
175.13	-41.9154070497	-10
175.14	-41.911347785	-10
175.143381746	-41.91	-10
175.15	-41.9073802269	-10
175.16	-41.9035040435	-10
175.169256051	-41.9	-10
175.17	-41.8997196716	-10
175.18	-41.896006735	-10
175.19	-41.8923800871	-10
175.196697721	-41.89	-10
175.2	-41.8888290673	-10
175.21	-41.8853415602	-10
175.22	-41.8819318162	-10
175.225772424	-41.88	-10
175.23	-41.878584938	-10
175.24	-41.8752929717	-10
175.25	-41.8720709778	-10
175.256547003	-41.87	-10
175.26	-41.8689050597	-10
175.27	-41.8657816398	-10
175.28	-41.8627209052	-10
175.289062938	-41.86	-10
175.29	-41.8597173601	-10
175.3	-41.8567375875	-10
175.31	-41.8538136262	-10
175.32	-41.8509436275	-10
175.32333191	-41.85	-10
175.33	-41.848097918	-10
175.34	-41.8452877569	-10
175.35	-41.8425250319	-10
175.359288605	-41.84	-10
175.36	-41.839804799	-10
175.37	-41.8370864463	-10
175.38	-41.8344092292	-10
175.39	-41.8317714028	-10
175.396798339	-41.83	-10
175.4	-41.8291558117	-10
175.41	-41.8265427935	-10
175.42	-41.823962982	-10
175.43	-41.8214146274	-10
175.435601848	-41.82	-10
175.44	-41.8188732195	-10
175.45	-41.8163301283	-10
175.46	-41.813812286	-10
175.47	-41.8113179402	-10
175.47531685	-41.81	-10
175.48	-41.8088191831	-10
175.49	-41.8063098556	-10
175.5	-41.8038176692	-10
175.51	-41.8013408422	-10
175.515431561	-41.8	-10
175.52	-41.7988496763	-10
175.53	-41.7963361198	-10
175.54	-41.7938311675	-10
175.55	-41.7913330054	-10
175.555336267	-41.79	-10
175.56	-41.7888082373	-10
175.57	-41.7862491465	-10
175.58	-41.7836894658	-10
175.59	-41.7811272062	-10
175.594383243	-41.78	-10
175.6	-41.7785177898	-10
175.61	-41.7758667451	-10
175.62	-41.7732047904	-10
175.63	-41.7705297813	-10
175.631965279	-41.77	-10
175.64	-41.7677698481	-10
175.65	-41.7649727041	-10
175.66	-41.7621527995	-10
175.667563519	-41.76	-10
175.67	-41.7592838562	-10
175.68	-41.7563137752	-10
175.69	-41.7533181715	-10
175.7	-41.7502990075	-10
175.700981476	-41.75	-10
175.71	-41.7471611565	-10
175.72	-41.7439921612	-10
175.73	-41.7408046468	-10
175.732506861	-41.74	-10
175.74	-41.737513659	-10
175.75	-41.7341784069	-10
175.76	-41.7308302601	-10
175.76246664	-41.73	-10
175.77	-41.727377345	-10
175.78	-41.7238845542	-10
175.79	-41.7203849541	-10
175.791095486	-41.72	-10
175.8	-41.7167619491	-10
175.81	-41.7131216937	-10
175.818570782	-41.71	-10
175.82	-41.709460969	-10
175.83	-41.7056805277	-10
175.84	-41.7019043545	-10
175.845042682	-41.7	-10
175.85	-41.6980604011	-10
175.86	-41.6941495937	-10
175.87	-41.6902502964	-10
175.870641728	-41.69	-10
175.88	-41.6862163401	-10
175.89	-41.6821888255	-10
175.895449691	-41.68	-10
175.9	-41.678104257	-10
175.91	-41.6739503556	-10
175.919564083	-41.67	-10
175.92	-41.6698131102	-10
175.93	-41.6655350155	-10
175.94	-41.6612868156	-10
175.943041874	-41.66	-10
175.95	-41.6569430041	-10
175.96	-41.6525788254	-10
175.965948611	-41.65	-10
175.97	-41.648174696	-10
175.98	-41.643697536	-10
175.98833281	-41.64	-10
175.99	-41.6392306459	-10
176	-41.6346436644	-10
176.01	-41.6301065524	-10
176.010236268	-41.63	-10
176.02	-41.6254182339	-10
176.03	-41.6207810977	-10
176.031697561	-41.62	-10
176.04	-41.6160222197	-10
176.05	-41.6112889975	-10
176.052748705	-41.61	-10
176.06	-41.6064568073	-10
176.07	-41.6016315682	-10
176.073417437	-41.6	-10
176.08	-41.5967231995	-10
